ASCII Name;Coordinates
Gra Liyia;35.01467,25.69127
Graikochori;39.49789,20.27608
Ekali;38.11035,23.83505
Agia Paraskevi;39.24792,26.27178
Aria;37.57372,22.83539
Anthiro;39.34722,21.45833
Antirrio;38.33014,21.76413
Antimacheia;36.80888,27.09764
Amaliada;37.79842,21.35068
Lardos;36.09419,28.01565
Stavros;40.58939,22.30861
Skydra;40.76722,22.15194
Samothraki;40.47333,25.52222
Axos;40.80223,22.36158
Nikiti;40.22204,23.66837
Nea Fokaia;40.13333,23.39754
Makrygialos;40.41551,22.60392
Koila;40.33055,21.79102
Kleitos;40.4314,21.85806
Charopo;41.26031,23.37279
Kato Lipochori;40.75754,22.17962
Kali Vrysi;41.14653,23.90667
Filotas;40.6252,21.70851
Arnissa;40.79555,21.83577
Amygdaleonas;40.96346,24.36007
Ampeleies;40.83417,22.38767
Potamos;39.6242,19.87826
Zefyri;38.06647,23.71701
San Rafael La Independencia;15.7015,-91.53553
San Martin Jilotepeque;14.78008,-90.79259
San Lucas Toliman;14.59471,-91.14659
San Juan Sacatepequez;14.71889,-90.64417
San Juan La Laguna;14.69453,-91.28666
San Jose Acatempa;14.26528,-90.12694
San Bartolome Jocotenango;15.19153,-91.07806
Pueblo Nuevo;14.64709,-91.53946
Nebaj;15.40614,-91.14682
Ixchiguan;15.16375,-91.93256
Fraijanes;14.46528,-90.44083
Estanzuela;14.99777,-89.57285
Esquipulas;14.56571,-89.35166
Pirada;12.66286,-14.15427
Farim;12.48389,-15.22167
Santa Cruz;13.25806,-87.34833
San Francisco de Cones;14.51667,-88.9
San Francisco;15.65,-87.05
San Fernando;14.68333,-89.11667
San Antonio;15.33333,-87.15
La Paz;14.31944,-87.67917
La Mina;15.31667,-87.83333
La Jutosa;15.64166,-87.99201
Jacaleapa;14.01667,-86.66667
El Obraje;14.0,-86.43333
Concepcion de Guasistagua;14.60764,-87.65499
Azacualpa;14.71218,-88.0901
Zapresic;45.85639,15.80778
Dubrava;45.83361,16.06361
Zagreb;45.81444,15.97798
Varazdin;46.30444,16.33778
Rezovac;45.78333,17.41667
Radoboj;46.16639,15.92361
Podgora;43.24333,17.07722
Pag;44.445,15.0575
Novigrad;44.18389,15.55417
Njivice;45.15806,14.53861
Lobor;46.15278,16.06778
Kusevac;45.34778,18.42889
Komin;43.04083,17.53694
Klenovnik;46.27028,16.07
Horvati;45.7,15.81667
Gornji Mihaljevec;46.43047,16.32568
Dragalic;45.24417,17.28861
Donji Kraljevec;46.36734,16.64936
Dezanovac;45.57056,17.08667
Konjscina;46.0521,16.17264
Ennery;19.48342,-72.48537
Okap;19.75938,-72.19815
Bahon;19.46959,-72.11466
Arcahaie;19.81667,-72.91667
Zagyvarekas;47.26667,20.13333
Vamospercs;47.53333,21.9
Szeged;46.253,20.14824
Saly;47.95,20.66667
Sajolad;48.04027,20.90247
Kevermes;46.41667,21.18333
